gene_name,gene_code,predicted_cluster
PMF1,ENSG00000160783,-1
SMG5,ENSG00000198952,-1
CCT3,ENSG00000163468,-1
GPATCH4,ENSG00000160818,-1
ISG20L2,ENSG00000143319,39
MRPL24,ENSG00000143314,-1
HDGF,ENSG00000143321,31
PRCC,ENSG00000143294,-1
LINC02772,ENSG00000271736,-1
DUSP23,ENSG00000158716,-1
TAGLN2,ENSG00000158710,-1
PEX19,ENSG00000162735,-1
COPA,ENSG00000122218,-1
PFDN2,ENSG00000143256,28
B4GALT3,ENSG00000158850,39
NDUFS2,ENSG00000158864,-1
FCER1G,ENSG00000158869,14
SDHC,ENSG00000143252,-1
DUSP12,ENSG00000081721,39
UHMK1,ENSG00000152332,-1
UAP1,ENSG00000117143,-1
MGST3,ENSG00000143198,-1
TMCO1,ENSG00000143183,22
TADA1,ENSG00000152382,44
CREG1,ENSG00000143162,40
RCSD1,ENSG00000198771,-1
MPZL1,ENSG00000197965,-1
MPC2,ENSG00000143158,30
TIPRL,ENSG00000143155,39
KIFAP3,ENSG00000075945,-1
PRRC2C,ENSG00000117523,-1
PRDX6,ENSG00000117592,49
GAS5,ENSG00000234741,-1
RABGAP1L,ENSG00000152061,-1
CACYBP,ENSG00000116161,33
MRPS14,ENSG00000120333,-1
FAM20B,ENSG00000116199,11
TOR3A,ENSG00000186283,19
CEP350,ENSG00000135837,42
ACBD6,ENSG00000230124,18
XPR1,ENSG00000143324,-1
GLUL,ENSG00000135821,-1
NPL,ENSG00000135838,-1
DHX9,ENSG00000135829,32
SMG7,ENSG00000116698,-1
ARPC5,ENSG00000162704,14
COLGALT2,ENSG00000198756,15
TSEN15,ENSG00000198860,-1
TPR,ENSG00000047410,-1
UCHL5,ENSG00000116750,36
RO60,ENSG00000116747,-1
GLRX2,ENSG00000023572,27
CDC73,ENSG00000134371,39
ASPM,ENSG00000066279,7
ZNF281,ENSG00000162702,-1
DDX59,ENSG00000118197,-1
TMEM9,ENSG00000116857,-1
NAV1,ENSG00000134369,41
IPO9,ENSG00000198700,39
PTPN7,ENSG00000143851,-1
KDM5B,ENSG00000117139,42
KLHL12,ENSG00000117153,-1
BTG2,ENSG00000159388,40
SNRPE,ENSG00000182004,-1
PPP1R15B,ENSG00000158615,-1
RBBP5,ENSG00000117222,-1
DSTYK,ENSG00000133059,-1
NUCKS1,ENSG00000069275,7
RAB29,ENSG00000117280,-1
CD55,ENSG00000196352,-1
CD46,ENSG00000117335,-1
UTP25,ENSG00000117597,-1
LINC00467,ENSG00000153363,-1
INTS7,ENSG00000143493,-1
NENF,ENSG00000117691,11
NSL1,ENSG00000117697,25
FLVCR1,ENSG00000162769,-1
CENPF,ENSG00000117724,7
KCTD3,ENSG00000136636,-1
RRP15,ENSG00000067533,27
LYPLAL1,ENSG00000143353,-1
EPRS,ENSG00000136628,16
IARS2,ENSG00000067704,49
TAF1A,ENSG00000143498,39
DEGS1,ENSG00000143753,-1
NVL,ENSG00000143748,-1
