gene_name,gene_code,predicted_cluster
TXN,ENSG00000136810,27
UGCG,ENSG00000148154,-1
PTBP3,ENSG00000119314,-1
HSDL2,ENSG00000119471,-1
FKBP15,ENSG00000119321,-1
SLC31A1,ENSG00000136868,15
PRPF4,ENSG00000136875,-1
ATP6V1G1,ENSG00000136888,30
PSMD5,ENSG00000095261,39
PHF19,ENSG00000119403,7
NDUFA8,ENSG00000119421,13
RBM18,ENSG00000119446,39
MRRF,ENSG00000148187,41
PSMB7,ENSG00000136930,8
RPL35,ENSG00000136942,0
ARPC5L,ENSG00000136950,27
RABEPK,ENSG00000136933,-1
HSPA5,ENSG00000044574,3
MAPKAP1,ENSG00000119487,-1
RPL12,ENSG00000197958,5
CDK9,ENSG00000136807,-1
AK1,ENSG00000106992,-1
DPM2,ENSG00000136908,-1
C9orf16,ENSG00000171159,-1
CIZ1,ENSG00000148337,26
SWI5,ENSG00000175854,-1
SLC27A4,ENSG00000167114,-1
URM1,ENSG00000167118,-1
CERCAM,ENSG00000167123,-1
ODF2,ENSG00000136811,-1
SPTAN1,ENSG00000197694,-1
SET,ENSG00000119335,-1
SPOUT1,ENSG00000198917,-1
DOLK,ENSG00000175283,-1
NUP188,ENSG00000095319,50
SH3GLB2,ENSG00000148341,20
NTMT1,ENSG00000148335,27
C9orf78,ENSG00000136819,-1
USP20,ENSG00000136878,22
FNBP1,ENSG00000187239,14
EXOSC2,ENSG00000130713,51
NUP214,ENSG00000126883,-1
MED27,ENSG00000160563,25
SETX,ENSG00000107290,-1
TTF1,ENSG00000125482,-1
TSC1,ENSG00000165699,43
GFI1B,ENSG00000165702,-1
SURF6,ENSG00000148296,50
MED22,ENSG00000148297,-1
RPL7A,ENSG00000148303,5
SURF1,ENSG00000148290,-1
SURF2,ENSG00000148291,-1
REXO4,ENSG00000148300,-1
WDR5,ENSG00000196363,51
MRPS2,ENSG00000122140,49
UBAC1,ENSG00000130560,11
PMPCA,ENSG00000165688,51
EGFL7,ENSG00000172889,-1
DIPK1B,ENSG00000165716,-1
SNHG7,ENSG00000233016,-1
TMEM141,ENSG00000244187,-1
PHPT1,ENSG00000054148,-1
EDF1,ENSG00000107223,15
DPP7,ENSG00000176978,-1
SSNA1,ENSG00000176101,-1
TUBB4B,ENSG00000188229,7
NELFB,ENSG00000188986,-1
MRPL41,ENSG00000182154,-1
EHMT1,ENSG00000181090,39
GTPBP4,ENSG00000107937,27
IDI1,ENSG00000067064,2
PITRM1,ENSG00000107959,-1
NET1,ENSG00000173848,-1
TASOR2,ENSG00000108021,-1
GDI2,ENSG00000057608,41
RBM17,ENSG00000134453,-1
PRKCQ-AS1,ENSG00000237943,-1
KIN,ENSG00000151657,-1
ATP5F1C,ENSG00000165629,27
TAF3,ENSG00000165632,-1
CELF2,ENSG00000048740,10
UPF2,ENSG00000151461,-1
NUDT5,ENSG00000165609,-1
CDC123,ENSG00000151465,-1
MCM10,ENSG00000065328,-1
SEPHS1,ENSG00000086475,41
HSPA14,ENSG00000284024,-1
HSPA14,ENSG00000187522,-1
RPP38,ENSG00000152464,39
VIM,ENSG00000026025,14
DNAJC1,ENSG00000136770,-1
COMMD3,ENSG00000148444,30
BMI1,ENSG00000168283,26
MSRB2,ENSG00000148450,22
YME1L1,ENSG00000136758,-1
RAB18,ENSG00000099246,-1
WAC,ENSG00000095787,29
MTPAP,ENSG00000107951,-1
KIF5B,ENSG00000170759,-1
ITGB1,ENSG00000150093,-1
CUL2,ENSG00000108094,39
CREM,ENSG00000095794,-1
BMS1,ENSG00000165733,49
HNRNPF,ENSG00000169813,32
ZNF22,ENSG00000165512,27
NCOA4,ENSG00000266412,-1
ZWINT,ENSG00000122952,7
TFAM,ENSG00000108064,-1
CCDC6,ENSG00000108091,39
ARID5B,ENSG00000150347,-1
ADO,ENSG00000181915,39
HNRNPH3,ENSG00000096746,-1
CCAR1,ENSG00000060339,-1
DDX21,ENSG00000165732,33
VPS26A,ENSG00000122958,-1
SUPV3L1,ENSG00000156502,-1
HK1,ENSG00000156515,-1
PPA1,ENSG00000180817,-1
PCBD1,ENSG00000166228,-1
PSAP,ENSG00000197746,40
ANAPC16,ENSG00000166295,15
DDIT4,ENSG00000168209,15
MCU,ENSG00000156026,-1
P4HA1,ENSG00000122884,-1
ECD,ENSG00000122882,39
MRPS16,ENSG00000182180,-1
ANXA7,ENSG00000138279,-1
PPP3CB,ENSG00000107758,-1
CHCHD1,ENSG00000172586,-1
VCL,ENSG00000035403,10
VDAC2,ENSG00000165637,27
COMTD1,ENSG00000165644,32
LRMDA,ENSG00000148655,22
RPS24,ENSG00000138326,-1
PPIF,ENSG00000108179,32
PRXL2A,ENSG00000122378,-1
GHITM,ENSG00000165678,15
PTEN,ENSG00000171862,-1
RPP30,ENSG00000148688,-1
PCGF5,ENSG00000180628,-1
BTAF1,ENSG00000095564,-1
HHEX,ENSG00000152804,-1
NOC3L,ENSG00000173145,-1
HELLS,ENSG00000119969,-1
CCNJ,ENSG00000107443,-1
ZNF518A,ENSG00000177853,-1
RRP12,ENSG00000052749,50
PGAM1,ENSG00000171314,32
EXOSC1,ENSG00000171311,25
COX15,ENSG00000014919,44
SCD,ENSG00000099194,2
NDUFB8,ENSG00000166136,27
HIF1AN,ENSG00000166135,-1
MRPL43,ENSG00000055950,-1
TWNK,ENSG00000107815,-1
LDB1,ENSG00000198728,-1
PPRC1,ENSG00000148840,-1
NOLC1,ENSG00000166197,-1
GBF1,ENSG00000107862,45
TAF5,ENSG00000148835,44
ATP5MD,ENSG00000173915,13
PDCD11,ENSG00000148843,-1
GSTO1,ENSG00000148834,19
ADD3,ENSG00000148700,43
SMNDC1,ENSG00000119953,-1
SMC3,ENSG00000108055,9
PDCD4,ENSG00000150593,-1
SHOC2,ENSG00000108061,43
NHLRC2,ENSG00000196865,-1
FAM204A,ENSG00000165669,26
EIF3A,ENSG00000107581,-1
RGS10,ENSG00000148908,22
MCMBP,ENSG00000197771,50
NSMCE4A,ENSG00000107672,49
HMX3,ENSG00000188620,-1
BUB3,ENSG00000154473,-1
OAT,ENSG00000065154,11
UROS,ENSG00000188690,-1
BCCIP,ENSG00000107949,44
MKI67,ENSG00000148773,7
GLRX3,ENSG00000108010,27
ZNF511,ENSG00000198546,-1
FUOM,ENSG00000148803,-1
RIC8A,ENSG00000177963,-1
PSMD13,ENSG00000185627,-1
IFITM2,ENSG00000185201,-1
TALDO1,ENSG00000177156,-1
RPLP2,ENSG00000177600,4
POLR2L,ENSG00000177700,13
CHID1,ENSG00000177830,-1
CTSD,ENSG00000117984,43
MRPL23,ENSG00000214026,-1
CD81,ENSG00000110651,-1
KCNQ1OT1,ENSG00000269821,40
CDKN1C,ENSG00000129757,40
CARS,ENSG00000110619,-1
ZNF195,ENSG00000005801,-1
HBD,ENSG00000223609,11
HBG1,ENSG00000213934,11
HBG2,ENSG00000196565,11
TAF10,ENSG00000166337,20
MRPL17,ENSG00000158042,-1
EIF3F,ENSG00000175390,-1
RPL27A,ENSG00000166441,4
TMEM41B,ENSG00000166471,-1
ZNF143,ENSG00000166478,-1
MTRNR2L8,ENSG00000255823,1
CTR9,ENSG00000198730,-1
EIF4G2,ENSG00000110321,-1
LINC00958,ENSG00000251381,-1
PSMA1,ENSG00000129084,8
C11orf58,ENSG00000110696,23
RPS13,ENSG00000110700,4
NUCB2,ENSG00000070081,3
HPS5,ENSG00000110756,-1
GTF2H1,ENSG00000110768,39
LDHA,ENSG00000134333,35
TSG101,ENSG00000074319,22
E2F8,ENSG00000129173,19
HTATIP2,ENSG00000109854,-1
PRMT3,ENSG00000185238,51
CCDC34,ENSG00000109881,-1
DNAJC24,ENSG00000170946,-1
IMMP1L,ENSG00000148950,-1
ELP4,ENSG00000109911,-1
EIF3M,ENSG00000149100,0
CSTF3,ENSG00000176102,6
HIPK3,ENSG00000110422,-1
CD59,ENSG00000085063,42
LMO2,ENSG00000135363,-1
FJX1,ENSG00000179431,-1
TRIM44,ENSG00000166326,-1
COMMD9,ENSG00000110442,-1
TTC17,ENSG00000052841,22
HSD17B12,ENSG00000149084,-1
MDK,ENSG00000110492,-1
SPI1,ENSG00000066336,14
PSMC3,ENSG00000165916,-1
NDUFS3,ENSG00000213619,27
PTPMT1,ENSG00000110536,-1
MTCH2,ENSG00000109919,27
FNBP4,ENSG00000109920,-1
SSRP1,ENSG00000149136,49
SLC43A3,ENSG00000134802,9
ZDHHC5,ENSG00000156599,-1
MED19,ENSG00000156603,-1
TMX2,ENSG00000213593,27
SELENOH,ENSG00000211450,-1
CTNND1,ENSG00000198561,-1
ZFP91,ENSG00000186660,39
PATL1,ENSG00000166889,-1
STX3,ENSG00000166900,22
MRPL16,ENSG00000166902,41
MS4A3,ENSG00000149516,-1
MS4A4A,ENSG00000110079,41
CCDC86,ENSG00000110104,27
PRPF19,ENSG00000110107,-1
DDB1,ENSG00000167986,11
CYB561A3,ENSG00000162144,11
TMEM258,ENSG00000134825,-1
FADS1,ENSG00000149485,-1
FTH1,ENSG00000167996,21
ASRGL1,ENSG00000162174,11
AHNAK,ENSG00000124942,-1
EEF1G,ENSG00000254772,5
TUT1,ENSG00000149016,48
EML3,ENSG00000149499,-1
GANAB,ENSG00000089597,-1
INTS5,ENSG00000185085,-1
UQCC3,ENSG00000204922,44
UBXN1,ENSG00000162191,-1
POLR2G,ENSG00000168002,-1
TAF6L,ENSG00000162227,44
WDR74,ENSG00000133316,27
SNHG1,ENSG00000255717,-1
SLC3A2,ENSG00000168003,22
RTN3,ENSG00000133318,14
SPINDOC,ENSG00000168005,39
COX8A,ENSG00000176340,13
MACROD1,ENSG00000133315,-1
STIP1,ENSG00000168439,-1
DNAJC4,ENSG00000110011,-1
VEGFB,ENSG00000173511,24
PPP1R14B,ENSG00000173457,-1
BAD,ENSG00000002330,-1
TRMT112,ENSG00000173113,-1
PRDX5,ENSG00000126432,42
SF1,ENSG00000168066,39
MEN1,ENSG00000133895,44
ARL2,ENSG00000213465,32
VPS51,ENSG00000149823,-1
TM7SF2,ENSG00000149809,-1
FAU,ENSG00000149806,22
POLA2,ENSG00000014138,19
DPF2,ENSG00000133884,-1
NEAT1,ENSG00000245532,40
MALAT1,ENSG00000251562,21
SCYL1,ENSG00000142186,-1
ZNRD2,ENSG00000173465,-1
PCNX3,ENSG00000197136,47
SIPA1,ENSG00000213445,-1
RNASEH2C,ENSG00000172922,19
CFL1,ENSG00000172757,-1
CCDC85B,ENSG00000175602,32
DRAP1,ENSG00000175550,-1
EIF1AD,ENSG00000175376,-1
BANF1,ENSG00000175334,-1
SF3B2,ENSG00000087365,-1
YIF1A,ENSG00000174851,51
MRPL11,ENSG00000174547,36
CCS,ENSG00000173992,43
RBM4,ENSG00000173933,-1
POLD4,ENSG00000175482,40
PPP1CA,ENSG00000172531,-1
RPS6KB2,ENSG00000175634,27
CORO1B,ENSG00000172725,-1
AIP,ENSG00000110711,-1
GSTP1,ENSG00000084207,21
NDUFV1,ENSG00000167792,49
NDUFS8,ENSG00000110717,-1
CHKA,ENSG00000110721,-1
LRP5,ENSG00000162337,-1
GAL,ENSG00000069482,33
MRPL21,ENSG00000197345,27
DHCR7,ENSG00000172893,2
AP002387.2,ENSG00000254682,6
NUMA1,ENSG00000137497,-1
LAMTOR1,ENSG00000149357,-1
INPPL1,ENSG00000165458,-1
CLPB,ENSG00000162129,-1
PAAF1,ENSG00000175575,-1
UCP2,ENSG00000175567,-1
POLD3,ENSG00000077514,19
SPCS2,ENSG00000118363,25
RPS3,ENSG00000149273,5
SERPINH1,ENSG00000149257,-1
THAP12,ENSG00000137492,-1
PAK1,ENSG00000149269,-1
CLNS1A,ENSG00000074201,32
RSF1,ENSG00000048649,42
AAMDC,ENSG00000087884,-1
INTS4,ENSG00000149262,-1
NDUFC2,ENSG00000151366,28
GAB2,ENSG00000033327,-1
NARS2,ENSG00000137513,50
RAB30-DT,ENSG00000246067,6
PCF11,ENSG00000165494,6
TMEM126B,ENSG00000171204,27
TMEM126A,ENSG00000171202,25
PICALM,ENSG00000073921,-1
HIKESHI,ENSG00000149196,-1
CTSC,ENSG00000109861,-1
CHORDC1,ENSG00000110172,-1
TAF1D,ENSG00000166012,-1
MED17,ENSG00000042429,-1
CWC15,ENSG00000150316,-1
SRSF8,ENSG00000263465,39
BIRC2,ENSG00000110330,-1
CWF19L2,ENSG00000152404,39
ATM,ENSG00000149311,-1
POGLUT3,ENSG00000178202,19
DDX10,ENSG00000178105,49
NKAPD1,ENSG00000150776,-1
TIMM8B,ENSG00000150779,-1
ZW10,ENSG00000086827,-1
RBM7,ENSG00000076053,-1
REXO2,ENSG00000076043,27
ZPR1,ENSG00000109917,-1
PCSK7,ENSG00000160613,42
ATP5MG,ENSG00000167283,-1
DDX6,ENSG00000110367,-1
CCDC84,ENSG00000186166,46
RPS25,ENSG00000118181,4
HYOU1,ENSG00000149428,3
HMBS,ENSG00000256269,11
H2AFX,ENSG00000188486,7
HINFP,ENSG00000172273,45
CBL,ENSG00000110395,-1
HSPA8,ENSG00000109971,34
FEZ1,ENSG00000149557,11
EI24,ENSG00000149547,51
RPUSD4,ENSG00000165526,-1
FAM118B,ENSG00000197798,-1
DCPS,ENSG00000110063,-1
NFRKB,ENSG00000170322,-1
APLP2,ENSG00000084234,11
ZBTB44,ENSG00000196323,47
THYN1,ENSG00000151500,-1
WNK1,ENSG00000060237,-1
FKBP4,ENSG00000004478,33
CCND2,ENSG00000118971,-1
NDUFA9,ENSG00000139180,-1
LTBR,ENSG00000111321,-1
MRPL51,ENSG00000111639,13
GAPDH,ENSG00000111640,34
NOP2,ENSG00000111641,-1
CHD4,ENSG00000111642,-1
PTMS,ENSG00000159335,-1
USP5,ENSG00000111667,-1
TPI1,ENSG00000111669,32
C12orf57,ENSG00000111678,14
PHB2,ENSG00000215021,32
EMG1,ENSG00000126749,49
SLC2A3,ENSG00000059804,-1
GABARAPL1,ENSG00000139112,43
MAGOHB,ENSG00000111196,-1
YBX3,ENSG00000060138,-1
WBP11,ENSG00000084463,-1
STRAP,ENSG00000023734,-1
DERA,ENSG00000023697,-1
MGST1,ENSG00000008394,33
PLEKHA5,ENSG00000052126,10
GOLT1B,ENSG00000111711,-1
LDHB,ENSG00000111716,34
CMAS,ENSG00000111726,-1
ETNK1,ENSG00000139163,46
BCAT1,ENSG00000060982,16
KRAS,ENSG00000133703,-1
INTS13,ENSG00000064102,-1
MED21,ENSG00000152944,47
MRPS35,ENSG00000061794,-1
RESF1,ENSG00000174718,-1
BICD1,ENSG00000151746,-1
DNM1L,ENSG00000087470,-1
YARS2,ENSG00000139131,-1
ZCRB1,ENSG00000139168,-1
ARID2,ENSG00000189079,47
SCAF11,ENSG00000139218,43
SLC38A1,ENSG00000111371,16
RPAP3,ENSG00000005175,-1
TMEM106C,ENSG00000134291,-1
COL2A1,ENSG00000139219,39
KANSL2,ENSG00000139620,-1
TUBA1B,ENSG00000123416,-1
TUBA1A,ENSG00000167552,17
TUBA1C,ENSG00000167553,7
MCRS1,ENSG00000187778,41
TMBIM6,ENSG00000139644,42
LETMD1,ENSG00000050426,-1
DAZAP2,ENSG00000183283,-1
GALNT6,ENSG00000139629,37
KRT8,ENSG00000170421,42
KRT18,ENSG00000111057,42
EIF4B,ENSG00000063046,0
PFDN5,ENSG00000123349,-1
SP1,ENSG00000185591,-1
PRR13,ENSG00000205352,26
PCBP2,ENSG00000197111,-1
ATP5MC2,ENSG00000135390,-1
SMUG1,ENSG00000123415,-1
CBX5,ENSG00000094916,-1
HNRNPA1,ENSG00000135486,-1
NFE2,ENSG00000123405,11
COPZ1,ENSG00000111481,-1
GTSF1,ENSG00000170627,51
NCKAP1L,ENSG00000123338,14
BLOC1S1,ENSG00000135441,-1
CD63,ENSG00000135404,40
CDK2,ENSG00000123374,19
RPS26,ENSG00000197728,33
PA2G4,ENSG00000170515,-1
RPL41,ENSG00000229117,5
MYL6B,ENSG00000196465,-1
MYL6,ENSG00000092841,-1
SMARCC2,ENSG00000139613,-1
RNF41,ENSG00000181852,15
CS,ENSG00000062485,41
CNPY2,ENSG00000257727,-1
TIMELESS,ENSG00000111602,7
ATP5F1B,ENSG00000110955,-1
PTGES3,ENSG00000110958,33
NACA,ENSG00000196531,0
PRIM1,ENSG00000198056,9
ZBTB39,ENSG00000166860,-1
SHMT2,ENSG00000182199,16
STAC3,ENSG00000185482,-1
MARS,ENSG00000166986,16
DDIT3,ENSG00000175197,-1
DCTN2,ENSG00000175203,22
PIP4K2C,ENSG00000166908,-1
OS9,ENSG00000135506,-1
METTL1,ENSG00000037897,50
TSFM,ENSG00000123297,-1
ATP23,ENSG00000166896,-1
GIHCG,ENSG00000257698,-1
TAFA2,ENSG00000198673,-1
USP15,ENSG00000135655,30
TMBIM4,ENSG00000155957,-1
RAP1B,ENSG00000127314,-1
NUP107,ENSG00000111581,-1
CPSF6,ENSG00000111605,50
YEATS4,ENSG00000127337,-1
CCT2,ENSG00000166226,-1
CNOT2,ENSG00000111596,-1
ZFC3H1,ENSG00000133858,-1
ATXN7L3B,ENSG00000253719,-1
KRR1,ENSG00000111615,-1
NAP1L1,ENSG00000187109,-1
OSBPL8,ENSG00000091039,-1
CCDC59,ENSG00000133773,27
ATP2B1,ENSG00000070961,-1
BTG1,ENSG00000133639,21
UBE2N,ENSG00000177889,-1
MRPL42,ENSG00000198015,27
SOCS2,ENSG00000120833,29
CEP83,ENSG00000173588,-1
METAP2,ENSG00000111142,49
SNRPF,ENSG00000139343,32
TMPO,ENSG00000120802,32
SLC25A3,ENSG00000075415,-1
ACTR6,ENSG00000075089,39
UTP20,ENSG00000120800,49
ARL1,ENSG00000120805,-1
CHPT1,ENSG00000111666,-1
GNPTAB,ENSG00000111670,42
WASHC3,ENSG00000120860,-1
PARPBP,ENSG00000185480,-1
HELLPAR,ENSG00000281344,19
HSP90B1,ENSG00000166598,3
TDG,ENSG00000139372,-1
TXNRD1,ENSG00000198431,41
C12orf45,ENSG00000151131,27
POLR3B,ENSG00000013503,-1
PWP1,ENSG00000136045,27
PRDM4,ENSG00000110851,-1
SART3,ENSG00000075856,-1
ISCU,ENSG00000136003,-1
CORO1C,ENSG00000110880,-1
MMAB,ENSG00000139428,-1
MVK,ENSG00000110921,2
ANAPC7,ENSG00000196510,51
ARPC3,ENSG00000111229,14
GPN3,ENSG00000111231,-1
VPS29,ENSG00000111237,26
PPP1CC,ENSG00000186298,-1
ALDH2,ENSG00000111275,-1
ERP29,ENSG00000089248,16
NAA25,ENSG00000111300,-1
HECTD4,ENSG00000173064,-1
RPL6,ENSG00000089009,5
PTPN11,ENSG00000179295,50
DDX54,ENSG00000123064,-1
RBM19,ENSG00000122965,-1
MED13L,ENSG00000123066,43
TESC,ENSG00000088992,11
RFC5,ENSG00000111445,19
PEBP1,ENSG00000089220,34
TAOK3,ENSG00000135090,29
SUDS3,ENSG00000111707,-1
RPLP0,ENSG00000089157,4
COX6A1,ENSG00000111775,-1
TRIAP1,ENSG00000170855,27
SRSF9,ENSG00000111786,-1
DYNLL1,ENSG00000088986,23
COQ5,ENSG00000110871,-1
POP5,ENSG00000167272,-1
SPPL3,ENSG00000157837,45
MLXIP,ENSG00000175727,-1
ZCCHC8,ENSG00000033030,37
RSRC2,ENSG00000111011,-1
DENR,ENSG00000139726,-1
VPS37B,ENSG00000139722,-1
ARL6IP4,ENSG00000182196,-1
MPHOSPH9,ENSG00000051825,-1
CDK2AP1,ENSG00000111328,27
SBNO1,ENSG00000139697,44
TMED2,ENSG00000086598,-1
DDX55,ENSG00000111364,-1
EIF2B1,ENSG00000111361,27
GTF2H3,ENSG00000111358,41
UBC,ENSG00000150991,-1
DHX37,ENSG00000150990,-1
AACS,ENSG00000081760,-1
RAN,ENSG00000132341,35
SFSWAP,ENSG00000061936,-1
EP400,ENSG00000183495,-1
DDX51,ENSG00000185163,-1
NOC4L,ENSG00000184967,-1
PXMP2,ENSG00000176894,-1
PGAM5,ENSG00000247077,51
ZNF84,ENSG00000198040,-1
PSPC1,ENSG00000121390,-1
SAP18,ENSG00000150459,-1
SKA3,ENSG00000165480,19
MRPL57,ENSG00000173141,-1
MIPEP,ENSG00000027001,-1
CENPJ,ENSG00000151849,19
RPL21,ENSG00000122026,4
GTF3A,ENSG00000122034,-1
MTIF3,ENSG00000122033,12
POLR1D,ENSG00000186184,0
POMP,ENSG00000132963,-1
SLC7A1,ENSG00000139514,16
HMGB1,ENSG00000189403,-1
USPL1,ENSG00000132952,-1
HSPH1,ENSG00000120694,31
BRCA2,ENSG00000139618,19
N4BP2L2,ENSG00000244754,-1
RFC3,ENSG00000133119,-1
ALG5,ENSG00000120697,-1
EXOSC8,ENSG00000120699,36
SUPT20H,ENSG00000102710,22
UFM1,ENSG00000120686,-1
COG6,ENSG00000133103,-1
FOXO1,ENSG00000150907,-1
MRPS31,ENSG00000102738,-1
ELF1,ENSG00000120690,10
WBP4,ENSG00000120688,-1
VWA8,ENSG00000102763,-1
AKAP11,ENSG00000023516,-1
TSC22D1,ENSG00000102804,-1
NUFIP1,ENSG00000083635,-1
GPALPP1,ENSG00000133114,-1
GTF2F2,ENSG00000188342,27
TPT1,ENSG00000133112,-1
ZC3H13,ENSG00000123200,43
LCP1,ENSG00000136167,-1
ESD,ENSG00000139684,49
NUDT15,ENSG00000136159,51
MED4,ENSG00000136146,39
ITM2B,ENSG00000136156,-1
FNDC3A,ENSG00000102531,38
EBPL,ENSG00000123179,-1
DLEU2,ENSG00000231607,41
DLEU1,ENSG00000176124,27
RNASEH2B,ENSG00000136104,26
INTS6,ENSG00000102786,-1
ALG11,ENSG00000253710,45
VPS36,ENSG00000136100,-1
SUGT1,ENSG00000165416,27
LINC00355,ENSG00000227674,-1
MZT1,ENSG00000204899,7
DIS3,ENSG00000083520,-1
PIBF1,ENSG00000083535,-1
TBC1D4,ENSG00000136111,-1
COMMD6,ENSG00000188243,-1
CLN5,ENSG00000102805,6
MYCBP2,ENSG00000005810,-1
RBM26,ENSG00000139746,-1
MIR17HG,ENSG00000215417,41
DNAJC3,ENSG00000102580,3
UGGT2,ENSG00000102595,-1
STK24,ENSG00000102572,-1
TPP2,ENSG00000134900,48
TEX30,ENSG00000151287,16
ARGLU1,ENSG00000134884,-1
ANKRD10,ENSG00000088448,-1
SOX1,ENSG00000182968,-1
PCID2,ENSG00000126226,-1
LAMP1,ENSG00000185896,-1
TFDP1,ENSG00000198176,-1
GAS6,ENSG00000183087,-1
CCNB1IP1,ENSG00000100814,-1
METTL17,ENSG00000165792,39
HNRNPC,ENSG00000092199,33
SUPT16H,ENSG00000092201,-1
RAB2B,ENSG00000129472,-1
TOX4,ENSG00000092203,-1
METTL3,ENSG00000165819,-1
DAD1,ENSG00000129562,-1
OXA1L,ENSG00000155463,-1
MRPL52,ENSG00000172590,23
LRP10,ENSG00000197324,-1
PRMT5,ENSG00000100462,27
HAUS4,ENSG00000092036,-1
PSMB5,ENSG00000100804,32
ACIN1,ENSG00000100813,-1
C14orf119,ENSG00000179933,-1
PABPN1,ENSG00000100836,-1
NGDN,ENSG00000129460,-1
DHRS4L2,ENSG00000187630,-1
PCK2,ENSG00000100889,16
DCAF11,ENSG00000100897,39
PSME1,ENSG00000092010,-1
PSME2,ENSG00000100911,27
RNF31,ENSG00000092098,-1
CHMP4A,ENSG00000254505,-1
NEDD8,ENSG00000129559,-1
RABGGTA,ENSG00000100949,-1
SDR39U1,ENSG00000100445,-1
STXBP6,ENSG00000168952,-1
SCFD1,ENSG00000092108,30
COCH,ENSG00000100473,32
HECTD1,ENSG00000092148,-1
ARHGAP5,ENSG00000100852,-1
SNX6,ENSG00000129515,26
PPP2R3C,ENSG00000092020,-1
PSMA6,ENSG00000100902,28
NFKBIA,ENSG00000100906,17
MBIP,ENSG00000151332,39
TRAPPC6B,ENSG00000182400,22
PNN,ENSG00000100941,6
PRPF39,ENSG00000185246,-1
FKBP3,ENSG00000100442,-1
MIS18BP1,ENSG00000129534,7
RPS29,ENSG00000213741,-1
RPL36AL,ENSG00000165502,-1
POLE2,ENSG00000100479,19
NEMF,ENSG00000165525,-1
SAV1,ENSG00000151748,47
TMX1,ENSG00000139921,-1
RTRAF,ENSG00000087302,-1
PSMC6,ENSG00000100519,8
FERMT2,ENSG00000073712,-1
CDKN3,ENSG00000100526,7
WDHD1,ENSG00000198554,19
KTN1,ENSG00000126777,-1
EXOC5,ENSG00000070367,-1
ACTR10,ENSG00000131966,-1
PSMA3,ENSG00000100567,-1
TIMM9,ENSG00000100575,-1
KIAA0586,ENSG00000100578,44
PCNX4,ENSG00000126773,-1
DHRS7,ENSG00000100612,-1
MNAT1,ENSG00000020426,-1
TRMT5,ENSG00000126814,44
SLC38A6,ENSG00000139974,-1
MTHFD1,ENSG00000100714,-1
CHURC1,ENSG00000258289,-1
MAX,ENSG00000125952,15
ATP6V1D,ENSG00000100554,-1
EIF2S1,ENSG00000134001,27
ZFP36L1,ENSG00000185650,17
ERH,ENSG00000100632,-1
SLC39A9,ENSG00000029364,39
MED6,ENSG00000133997,-1
RBM25,ENSG00000119707,-1
PTGR2,ENSG00000140043,-1
NPC2,ENSG00000119655,40
ISCA2,ENSG00000165898,-1
FCF1,ENSG00000119616,-1
EIF2B2,ENSG00000119718,-1
TMED10,ENSG00000170348,3
SLIRP,ENSG00000119705,-1
SNW1,ENSG00000100603,25
GTF2A1,ENSG00000165417,-1
PSMC1,ENSG00000100764,8
NRDE2,ENSG00000119720,37
CALM1,ENSG00000198668,27
NDUFB1,ENSG00000183648,12
CPSF2,ENSG00000165934,-1
ITPK1,ENSG00000100605,-1
DDX24,ENSG00000089737,-1
DICER1,ENSG00000100697,-1
GLRX5,ENSG00000182512,44
PAPOLA,ENSG00000090060,-1
CCNK,ENSG00000090061,-1
WARS,ENSG00000140105,15
DYNC1H1,ENSG00000197102,-1
HSP90AA1,ENSG00000080824,34
CINP,ENSG00000100865,-1
EIF5,ENSG00000100664,-1
MARK3,ENSG00000075413,-1
CKB,ENSG00000166165,32
COA8,ENSG00000256053,-1
ATP5MPL,ENSG00000156411,-1
INF2,ENSG00000203485,19
CDCA4,ENSG00000170779,19
TJP1,ENSG00000104067,12
AVEN,ENSG00000169857,18
EMC7,ENSG00000134153,25
KATNBL1,ENSG00000134152,39
NOP10,ENSG00000182117,-1
SRP14,ENSG00000140319,43
BUB1B,ENSG00000156970,7
RAD51,ENSG00000051180,19
RMDN3,ENSG00000137824,39
GCHFR,ENSG00000137880,-1
INO80,ENSG00000128908,-1
NUSAP1,ENSG00000137804,7
RTF1,ENSG00000137815,20
RPAP1,ENSG00000103932,-1
MAP1A,ENSG00000166963,40
PDIA3,ENSG00000167004,3
SERF2,ENSG00000140264,-1
MFAP1,ENSG00000140259,-1
CTDSPL2,ENSG00000137770,-1
EIF3J,ENSG00000104131,27
B2M,ENSG00000166710,40
SORD,ENSG00000140263,11
SPATA5L1,ENSG00000171763,-1
DUT,ENSG00000128951,32
CEP152,ENSG00000103995,19
EID1,ENSG00000255302,12
COPS2,ENSG00000166200,-1
SLC27A2,ENSG00000140284,-1
GABPB1,ENSG00000104064,39
GABPB1-AS1,ENSG00000244879,6
LEO1,ENSG00000166477,-1
RSL24D1,ENSG00000137876,16
RAB27A,ENSG00000069974,-1
CCPG1,ENSG00000260916,-1
POLR2M,ENSG00000255529,39
ADAM10,ENSG00000137845,-1
CCNB2,ENSG00000157456,7
GTF2A2,ENSG00000140307,13
ANXA2,ENSG00000182718,-1
VPS13C,ENSG00000129003,-1
RPS27L,ENSG00000185088,-1
HERC1,ENSG00000103657,-1
SNX1,ENSG00000028528,39
PPIB,ENSG00000166794,3
PCLAF,ENSG00000166803,32
ZNF609,ENSG00000180357,-1
OAZ2,ENSG00000180304,-1
PDCD7,ENSG00000090470,26
